"id","x"
"1",7.02811925641274
"2",6.7236211868964
"3",4.94300417511623
"4",6.10124842632442
"5",7.44181768985126
"6",7.58469145105025
"7",5.18788573685577
"8",6.45448597379371
"9",4.55999097744536
"10",6.61528240881401
"11",8.6526692546307
"12",8.13367226204101
"13",6.64264966597192
"14",8.48116705512009
"15",8.11208519257574
"16",7.13402089974373
"17",5.56758421577143
"18",6.70727442299914
"19",7.70820057477693
"20",7.22404448707566
"21",5.52426911001796
"22",4.91165908453506
"23",6.71475939151929
"24",5.70304983159249
"25",5.14504435227971
"26",6.44699682053083
"27",5.26432891593174
"28",6.15352208436874
"29",7.75001387264674
"30",7.37650073344366
"31",5.43101949212661
"32",7.68212397800352
"33",8.28246735168127
"34",7.2057049198646
"35",5.24883442413253
"36",5.77700143972929
"37",7.28562504966132
"38",5.54249552812842
"39",5.72809408037886
"40",6.06195197175372
"41",8.03582239450601
"42",6.72043706550165
"43",5.47244596717707
"44",7.35309841421319
"45",5.05425649865275
"46",6.78602970280011
"47",8.00072849174689
"48",7.34092961989237
"49",6.31311389562396
"50",8.23200425473646
"51",7.25556443601406
"52",6.81609302606685
"53",7.30975757277969
"54",8.35363721149957
